# Lineage assignments from ngsAdmix K=3 best-run Q matrix
# Generated: 2026-04-04
# Excluded: Ofra_6 (putative franksi x faveolata hybrid, 8.4% faveolata)
# NOTE: assignments are GENETIC species, not field label
# Mislabels reclassified: Oann_106->Ofaveolata, Ofav_94->Oannularis,
#   Ofav_75/76/83/84/104/105->Ofranksi, Ofra_1/4->Ofaveolata
# sample_id	lineage
Oann_101	Oannularis
Oann_102	Oannularis
Oann_103	Oannularis
Oann_105	Oannularis
Oann_106	Ofaveolata
Oann_107	Oannularis
Oann_108	Oannularis
Oann_109	Oannularis
Oann_110	Oannularis
Oann_111	Oannularis
Oann_115	Oannularis
Oann_116	Oannularis
Oann_17	Oannularis
Oann_21	Oannularis
Oann_23	Oannularis
Oann_33	Oannularis
Oann_4	Oannularis
Oann_50	Oannularis
Oann_51	Oannularis
Oann_52	Oannularis
Oann_53	Oannularis
Oann_54	Oannularis
Oann_55	Oannularis
Oann_56	Oannularis
Oann_57	Oannularis
Oann_58	Oannularis
Oann_59	Oannularis
Oann_60	Oannularis
Oann_61	Oannularis
Oann_62	Oannularis
Oann_63	Oannularis
Oann_64	Oannularis
Oann_65	Oannularis
Oann_66	Oannularis
Oann_67	Oannularis
Oann_68	Oannularis
Oann_69	Oannularis
Oann_70	Oannularis
Oann_71	Oannularis
Oann_73	Oannularis
Oann_75	Oannularis
Oann_76	Oannularis
Oann_78	Oannularis
Oann_79	Oannularis
Oann_80	Oannularis
Oann_81	Oannularis
Oann_82	Oannularis
Oann_83	Oannularis
Oann_84	Oannularis
Oann_86	Oannularis
Oann_87	Oannularis
Oann_88	Oannularis
Oann_89	Oannularis
Oann_91	Oannularis
Oann_92	Oannularis
Oann_96	Oannularis
Oann_97	Oannularis
Oann_98	Oannularis
Oann_99	Oannularis
Ofav_100	Ofaveolata
Ofav_102	Ofaveolata
Ofav_103	Ofaveolata
Ofav_104	Ofranksi
Ofav_105	Ofranksi
Ofav_106	Ofaveolata
Ofav_107	Ofaveolata
Ofav_110	Ofaveolata
Ofav_50	Ofaveolata
Ofav_52	Ofaveolata
Ofav_53	Ofaveolata
Ofav_54	Ofaveolata
Ofav_55	Ofaveolata
Ofav_56	Ofaveolata
Ofav_57	Ofaveolata
Ofav_58	Ofaveolata
Ofav_59	Ofaveolata
Ofav_60	Ofaveolata
Ofav_61	Ofaveolata
Ofav_62	Ofaveolata
Ofav_63	Ofaveolata
Ofav_64	Ofaveolata
Ofav_65	Ofaveolata
Ofav_66	Ofaveolata
Ofav_67	Ofaveolata
Ofav_68	Ofaveolata
Ofav_69	Ofaveolata
Ofav_70	Ofaveolata
Ofav_71	Ofaveolata
Ofav_72	Ofaveolata
Ofav_73	Ofaveolata
Ofav_74	Ofaveolata
Ofav_75	Ofranksi
Ofav_76	Ofranksi
Ofav_77	Ofaveolata
Ofav_78	Ofaveolata
Ofav_79	Ofaveolata
Ofav_80	Ofaveolata
Ofav_81	Ofaveolata
Ofav_82	Ofaveolata
Ofav_83	Ofranksi
Ofav_84	Ofranksi
Ofav_85	Ofaveolata
Ofav_86	Ofaveolata
Ofav_87	Ofaveolata
Ofav_88	Ofaveolata
Ofav_89	Ofaveolata
Ofav_90	Ofaveolata
Ofav_91	Ofaveolata
Ofav_93	Ofaveolata
Ofav_94	Oannularis
Ofav_96	Ofaveolata
Ofav_97	Ofaveolata
Ofav_99	Ofaveolata
Ofra_1	Ofaveolata
Ofra_10	Ofranksi
Ofra_11	Ofranksi
Ofra_12	Ofranksi
Ofra_13	Ofranksi
Ofra_14	Ofranksi
Ofra_16	Ofranksi
Ofra_17	Ofranksi
Ofra_18	Ofranksi
Ofra_19	Ofranksi
Ofra_2	Ofranksi
Ofra_20	Ofranksi
Ofra_21	Ofranksi
Ofra_29	Ofranksi
Ofra_3	Ofranksi
Ofra_4	Ofaveolata
Ofra_5	Ofranksi
Ofra_7	Ofranksi
Ofra_8	Ofranksi
Ofra_9	Ofranksi
