# Clone exclusion audit — 2026-04-03T16:00:32
# Operator: s.vollmer@login-01
# Unrelated: 134/140 samples
# KING clone threshold: 0.45
sample_id	decision	reason	operator	timestamp
Oann_101	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_102	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_103	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_105	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_106	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_107	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_108	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_109	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_110	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_111	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_115	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_116	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_17	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_21	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_23	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_33	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_4	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_50	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_51	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_52	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_53	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_54	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_55	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_56	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_57	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_58	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_59	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_60	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_61	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_62	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_63	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_64	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_65	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_66	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_67	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_68	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_69	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_70	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_71	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_72	excluded_clone	clone_of_Oann_73_KING=0.4949	s.vollmer@login-01	2026-04-03T16:00:32
Oann_73	clone_kept	higher_depth_ramet_of_Oann_72	s.vollmer@login-01	2026-04-03T16:00:32
Oann_75	clone_kept	higher_depth_ramet_of_Oann_77	s.vollmer@login-01	2026-04-03T16:00:32
Oann_76	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_77	excluded_clone	clone_of_Oann_75_KING=0.4959	s.vollmer@login-01	2026-04-03T16:00:32
Oann_78	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_79	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_80	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_81	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_82	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_83	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_84	clone_kept	higher_depth_ramet_of_Oann_85	s.vollmer@login-01	2026-04-03T16:00:32
Oann_85	excluded_clone	clone_of_Oann_84_KING=0.4949	s.vollmer@login-01	2026-04-03T16:00:32
Oann_86	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_87	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_88	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_89	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_91	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_92	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_95	excluded_clone	clone_of_Oann_96_KING=0.4955	s.vollmer@login-01	2026-04-03T16:00:32
Oann_96	clone_kept	higher_depth_ramet_of_Oann_95	s.vollmer@login-01	2026-04-03T16:00:32
Oann_97	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_98	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Oann_99	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_100	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_102	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_103	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_104	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_105	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_106	clone_kept	higher_depth_ramet_of_Ofra_26	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_107	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_110	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_50	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_52	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_53	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_54	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_55	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_56	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_57	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_58	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_59	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_60	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_61	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_62	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_63	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_64	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_65	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_66	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_67	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_68	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_69	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_70	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_71	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_72	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_73	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_74	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_75	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_76	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_77	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_78	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_79	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_80	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_81	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_82	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_83	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_84	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_85	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_86	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_87	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_88	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_89	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_90	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_91	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_92	excluded_clone	clone_of_Ofav_93_KING=0.4853	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_93	clone_kept	higher_depth_ramet_of_Ofav_92	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_94	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_96	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_97	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofav_99	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_1	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_10	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_11	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_12	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_13	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_14	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_16	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_17	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_18	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_19	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_2	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_20	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_21	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_26	excluded_clone	mislabel_confirmed_Ofav_by_KING_matrix	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_29	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_3	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_4	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_5	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_6	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_7	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_8	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
Ofra_9	approved	unrelated	s.vollmer@login-01	2026-04-03T16:00:32
