# clones_report.txt — generated by filter_clones rule
# Run: python workflow/scripts/clone_approve.py
# clone_threshold: 0.45
# kinship_threshold: 0.2

[approved]
sample_id	mean_depth
Oann_101	36.03
Oann_102	36.93
Oann_103	34.31
Oann_105	35.41
Oann_106	39.59
Oann_107	36.90
Oann_108	48.26
Oann_109	35.59
Oann_110	30.33
Oann_111	42.06
Oann_115	39.12
Oann_116	30.96
Oann_17	41.67
Oann_21	31.11
Oann_23	29.63
Oann_33	25.83
Oann_4	29.51
Oann_50	38.97
Oann_51	34.45
Oann_52	23.42
Oann_53	20.51
Oann_54	34.52
Oann_55	33.14
Oann_56	39.24
Oann_57	36.03
Oann_58	36.47
Oann_59	37.07
Oann_60	30.42
Oann_61	48.12
Oann_62	33.08
Oann_63	37.46
Oann_64	32.18
Oann_65	32.07
Oann_66	32.50
Oann_67	46.22
Oann_68	36.59
Oann_69	41.21
Oann_70	28.97
Oann_71	33.81
Oann_72	22.91
Oann_73	39.89
Oann_75	39.11
Oann_76	32.86
Oann_77	28.86
Oann_78	27.86
Oann_79	32.82
Oann_80	31.30
Oann_81	37.29
Oann_82	36.24
Oann_83	38.61
Oann_84	47.15
Oann_85	40.20
Oann_86	30.21
Oann_87	34.48
Oann_88	33.09
Oann_89	33.80
Oann_91	31.35
Oann_92	35.67
Oann_95	29.81
Oann_96	30.97
Oann_97	37.70
Oann_98	43.67
Oann_99	33.54
Ofav_100	28.53
Ofav_102	28.11
Ofav_103	26.25
Ofav_104	37.80
Ofav_105	34.57
Ofav_106	26.04
Ofav_107	33.89
Ofav_110	38.66
Ofav_50	36.14
Ofav_52	22.16
Ofav_53	26.70
Ofav_54	27.32
Ofav_55	24.45
Ofav_56	24.50
Ofav_57	22.60
Ofav_58	21.89
Ofav_59	39.92
Ofav_60	45.18
Ofav_61	39.63
Ofav_62	27.40
Ofav_63	36.08
Ofav_64	37.62
Ofav_65	45.22
Ofav_66	29.49
Ofav_67	30.06
Ofav_68	33.66
Ofav_69	38.40
Ofav_70	28.55
Ofav_71	41.00
Ofav_72	28.29
Ofav_73	25.75
Ofav_74	27.46
Ofav_75	34.98
Ofav_76	27.90
Ofav_77	29.34
Ofav_78	27.38
Ofav_79	33.34
Ofav_80	48.81
Ofav_81	38.35
Ofav_82	50.65
Ofav_83	41.78
Ofav_84	48.17
Ofav_85	48.67
Ofav_86	41.35
Ofav_87	52.79
Ofav_88	34.49
Ofav_89	40.47
Ofav_90	34.55
Ofav_91	34.60
Ofav_92	29.56
Ofav_93	32.81
Ofav_94	39.15
Ofav_96	37.78
Ofav_97	22.96
Ofav_99	34.45
Ofra_1	17.74
Ofra_10	32.35
Ofra_11	33.27
Ofra_12	29.17
Ofra_13	43.42
Ofra_14	37.87
Ofra_16	35.79
Ofra_17	33.17
Ofra_18	36.09
Ofra_19	30.72
Ofra_2	25.11
Ofra_20	40.69
Ofra_21	35.32
Ofra_26	29.35
Ofra_29	28.59
Ofra_3	26.19
Ofra_4	26.50
Ofra_5	27.09
Ofra_6	33.31
Ofra_7	32.23
Ofra_8	27.72
Ofra_9	28.12

[clones]
sample_a	sample_b	KING	depth_a	depth_b	recommended_exclude
Oann_72	Oann_73	0.4949	22.91	39.89	Oann_72
Oann_75	Oann_77	0.4959	39.11	28.86	Oann_77
Oann_84	Oann_85	0.4949	47.15	40.2	Oann_85
Oann_95	Oann_96	0.4955	29.81	30.97	Oann_95
Ofav_106	Ofra_26	0.4929	26.04	29.35	Ofav_106
Ofav_92	Ofav_93	0.4853	29.56	32.81	Ofav_92

[relatives]
sample_a	sample_b	KING	relationship
