GO_id	NS	name	study_count	study_n	pop_count	pop_n	p_uncorr	p_fdr_bh
GO:0003674	MF	molecular_function	413	479	12394	36946	6.88e-128	5.13e-124
GO:0008150	BP	biological_process	344	479	9946	36946	3.48e-94	1.30e-90
GO:0005575	CC	cellular_component	333	479	9386	36946	2.66e-92	6.60e-89
GO:0110165	CC	cellular anatomical structure	294	479	8260	36946	4.11e-76	7.66e-73
GO:0009987	BP	cellular process	296	479	8625	36946	5.48e-73	8.16e-70
GO:0005488	MF	binding	263	479	8046	36946	6.93e-57	8.61e-54
GO:0003824	MF	catalytic activity	165	479	4589	36946	3.29e-36	3.50e-33
GO:0065007	BP	biological regulation	139	479	3800	36946	1.57e-30	1.46e-27
GO:0043226	CC	organelle	119	479	2886	36946	2.19e-30	1.81e-27
GO:0043229	CC	intracellular organelle	114	479	2828	36946	3.62e-28	2.70e-25
GO:0016020	CC	membrane	132	479	3692	36946	7.13e-28	4.83e-25
GO:0050789	BP	regulation of biological process	129	479	3559	36946	9.75e-28	5.74e-25
GO:0050794	BP	regulation of cellular process	128	479	3512	36946	1.00e-27	5.74e-25
GO:0008152	BP	metabolic process	145	479	4371	36946	1.53e-27	8.15e-25
GO:0043227	CC	membrane-bounded organelle	100	479	2413	36946	1.91e-25	9.47e-23
GO:0036094	MF	small molecule binding	116	479	3196	36946	8.92e-25	4.15e-22
GO:0043231	CC	intracellular membrane-bounded organelle	96	479	2354	36946	6.90e-24	3.03e-21
GO:0044238	BP	primary metabolic process	130	479	3960	36946	7.39e-24	3.06e-21
GO:0043167	MF	ion binding	111	479	3102	36946	3.77e-23	1.48e-20
GO:0005515	MF	protein binding	121	479	3748	36946	1.45e-21	5.41e-19
GO:0032991	CC	protein-containing complex	89	479	2296	36946	1.19e-20	4.21e-18
GO:0016740	MF	transferase activity	67	479	1690	36946	4.48e-16	1.52e-13
GO:0005634	CC	nucleus	59	479	1370	36946	8.32e-16	2.70e-13
GO:0043170	BP	macromolecule metabolic process	94	479	3012	36946	1.22e-15	3.78e-13
GO:0051179	BP	localization	66	479	1707	36946	2.53e-15	7.55e-13
GO:0006810	BP	transport	61	479	1491	36946	2.64e-15	7.57e-13
GO:0051234	BP	establishment of localization	62	479	1615	36946	2.69e-14	7.41e-12
GO:0000166	MF	nucleotide binding	57	479	1430	36946	7.02e-14	1.87e-11
GO:1901265	MF	nucleoside phosphate binding	57	479	1436	36946	8.34e-14	2.14e-11
GO:0019222	BP	regulation of metabolic process	53	479	1273	36946	1.05e-13	2.62e-11
GO:1901363	MF	heterocyclic compound binding	59	479	1533	36946	1.09e-13	2.62e-11
GO:0009058	BP	biosynthetic process	45	479	957	36946	1.38e-13	3.22e-11
GO:0043168	MF	anion binding	59	479	1544	36946	1.47e-13	3.33e-11
GO:0080090	BP	regulation of primary metabolic process	45	479	1000	36946	6.30e-13	1.38e-10
GO:0019219	BP	regulation of nucleobase-containing compound metabolic process	41	479	851	36946	8.21e-13	1.75e-10
GO:0043169	MF	cation binding	61	479	1706	36946	9.43e-13	1.95e-10
GO:0051252	BP	regulation of RNA metabolic process	39	479	812	36946	3.34e-12	6.73e-10
GO:0060255	BP	regulation of macromolecule metabolic process	47	479	1135	36946	3.49e-12	6.84e-10
GO:0010556	BP	regulation of macromolecule biosynthetic process	44	479	1015	36946	3.99e-12	7.63e-10
GO:0035639	MF	purine ribonucleoside triphosphate binding	49	479	1227	36946	4.29e-12	8.00e-10
GO:0032553	MF	ribonucleotide binding	50	479	1278	36946	5.35e-12	9.73e-10
GO:0009889	BP	regulation of biosynthetic process	44	479	1026	36946	5.69e-12	1.01e-09
GO:0017076	MF	purine nucleotide binding	51	479	1326	36946	6.02e-12	1.04e-09
GO:2001141	BP	regulation of RNA biosynthetic process	37	479	763	36946	9.31e-12	1.54e-09
GO:0006355	BP	regulation of DNA-templated transcription	37	479	763	36946	9.31e-12	1.54e-09
GO:0010468	BP	regulation of gene expression	43	479	1004	36946	1.05e-11	1.70e-09
GO:0032555	MF	purine ribonucleotide binding	49	479	1263	36946	1.19e-11	1.89e-09
GO:0046872	MF	metal ion binding	58	479	1679	36946	1.43e-11	2.22e-09
GO:0097367	MF	carbohydrate derivative binding	50	479	1328	36946	2.10e-11	3.20e-09
GO:0005524	MF	ATP binding	42	479	990	36946	2.48e-11	3.70e-09
GO:0007165	BP	signal transduction	63	479	1934	36946	2.57e-11	3.76e-09
GO:0030554	MF	adenyl nucleotide binding	44	479	1086	36946	3.60e-11	5.16e-09
GO:0003676	MF	nucleic acid binding	67	479	2148	36946	3.72e-11	5.23e-09
GO:0032559	MF	adenyl ribonucleotide binding	42	479	1026	36946	7.50e-11	1.04e-08
GO:0019538	BP	protein metabolic process	59	479	1806	36946	1.17e-10	1.58e-08
GO:0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific	25	479	405	36946	1.77e-10	2.36e-08
GO:0005886	CC	plasma membrane	52	479	1511	36946	2.04e-10	2.67e-08
GO:0006357	BP	regulation of transcription by RNA polymerase II	29	479	555	36946	3.15e-10	4.05e-08
GO:0055085	BP	transmembrane transport	35	479	794	36946	4.46e-10	5.64e-08
GO:0022857	MF	transmembrane transporter activity	37	479	918	36946	1.61e-09	2.00e-07
