fst_chr	fst_midPos	FST	Z	chr	start	end	gene_id	description	biotype	Chr	pos_Mb
NC_133882.1	3375001	0.052504	-1.0656285188735826	NC_133882.1	3346701	3356226	LOC141895675	leucine-rich repeat-containing protein 61-like	protein_coding	Chr1	3.38
NC_133882.1	3375001	0.052504	-1.0656285188735826	NC_133882.1	3356364	3358406	LOC141895659	uncharacterized LOC141895659	protein_coding	Chr1	3.38
NC_133882.1	3375001	0.052504	-1.0656285188735826	NC_133882.1	3359415	3379781	LOC141895651	uncharacterized LOC141895651	protein_coding	Chr1	3.38
NC_133882.1	3375001	0.052504	-1.0656285188735826	NC_133882.1	3380060	3419318	LOC141895631	uncharacterized LOC141895631	protein_coding	Chr1	3.38
NC_133882.1	3405001	0.043434	-1.0945195984906801	NC_133882.1	3420309	3422431	LOC141895457	uncharacterized LOC141895457	protein_coding	Chr1	3.41
NC_133882.1	3405001	0.043434	-1.0945195984906801	NC_133882.1	3421823	3424033	LOC141895466	uncharacterized LOC141895466	protein_coding	Chr1	3.41
NC_133882.1	4155001	0.031366	-1.1329603425721722	NC_133882.1	4128154	4145401	LOC141864403	uncharacterized LOC141864403	protein_coding	Chr1	4.16
NC_133882.1	4155001	0.031366	-1.1329603425721722	NC_133882.1	4133879	4135607	LOC141890038	uncharacterized LOC141890038	protein_coding	Chr1	4.16
NC_133882.1	4155001	0.031366	-1.1329603425721722	NC_133882.1	4145526	4165003	LOC141864109	uncharacterized LOC141864109	protein_coding	Chr1	4.16
NC_133882.1	4155001	0.031366	-1.1329603425721722	NC_133882.1	4167273	4169037	LOC141893542	small EDRK-rich factor 2-like	protein_coding	Chr1	4.16
NC_133882.1	4155001	0.031366	-1.1329603425721722	NC_133882.1	4168905	4179852	LOC141893492	beta-1%2C3-galactosyltransferase 1-like	protein_coding	Chr1	4.16
NC_133882.1	4155001	0.031366	-1.1329603425721722	NC_133882.1	4179995	4183369	LOC141893528	apoptosis regulator Bcl-2-like	protein_coding	Chr1	4.16
NC_133882.1	4175001	0.041898	-1.099412288489783	NC_133882.1	4199299	4202128	LOC141888971	zinc transporter ZIP1-like	protein_coding	Chr1	4.18
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	5984341	6066716	LOC141874265	uncharacterized LOC141874265	protein_coding	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6061617	6064205	LOC141893306	uncharacterized LOC141893306	protein_coding	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6064349	6065924	LOC141874196	uncharacterized LOC141874196	protein_coding	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6072163	6088443	LOC141874206	uncharacterized LOC141874206	protein_coding	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6073888	6080044	LOC141874187	uncharacterized LOC141874187	protein_coding	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6079973	6083177	LOC141874156	uncharacterized LOC141874156	protein_coding	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6088567	6095345	LOC141874131	kelch-like protein 26	protein_coding	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6095601	6099990	LOC141874311	uncharacterized LOC141874311	lncRNA	Chr1	6.09
NC_133882.1	6085001	0.051287	-1.0695050838012572	NC_133882.1	6101970	6106441	LOC141874315	uncharacterized LOC141874315	lncRNA	Chr1	6.09
NC_133882.1	6095001	0.055414	-1.05635916477372	NC_133882.1	6110564	6116121	LOC141874138	kelch-like protein 26	protein_coding	Chr1	6.1
NC_133882.1	14945001	0.04864	-1.0779366921525755	NC_133882.1	14919304	14945078	LOC141874585	sorting nexin-27-like	protein_coding	Chr1	14.95
NC_133882.1	14945001	0.04864	-1.0779366921525755	NC_133882.1	14947911	14960595	LOC141876362	CREB-regulated transcription coactivator 1-like	protein_coding	Chr1	14.95
NC_133882.1	14945001	0.04864	-1.0779366921525755	NC_133882.1	14962057	14991592	LOC141876230	uncharacterized LOC141876230	protein_coding	Chr1	14.95
NC_133882.1	14965001	0.03288	-1.1281377301642022	NC_133882.1	14980288	14982049	LOC141876483	uncharacterized LOC141876483	lncRNA	Chr1	14.97
NC_133882.1	14965001	0.03288	-1.1281377301642022	NC_133882.1	14982668	14986800	LOC141876533	uncharacterized LOC141876533	lncRNA	Chr1	14.97
NC_133882.1	14965001	0.03288	-1.1281377301642022	NC_133882.1	14984192	14986924	LOC141876591	uncharacterized LOC141876591	lncRNA	Chr1	14.97
NC_133882.1	14975001	0.034684	-1.122391367691298	NC_133882.1	14992941	14994252	LOC141891980	uncharacterized LOC141891980	protein_coding	Chr1	14.98
NC_133882.1	14975001	0.034684	-1.122391367691298	NC_133882.1	14997052	14999116	LOC141891760	uncharacterized LOC141891760	lncRNA	Chr1	14.98
NC_133882.1	14975001	0.034684	-1.122391367691298	NC_133882.1	14998372	14999850	LOC141891749	uncharacterized LOC141891749	lncRNA	Chr1	14.98
NC_133882.1	14985001	0.038529	-1.1101437159682837	NC_133882.1	15000599	15004130	LOC141891754	uncharacterized LOC141891754	lncRNA	Chr1	14.99
NC_133882.1	15295001	0.047951	-1.0801313948930584	NC_133882.1	15272500	15352849	LOC141877103	uncharacterized LOC141877103	protein_coding	Chr1	15.3
NC_133882.1	15295001	0.047951	-1.0801313948930584	NC_133882.1	15285045	15285451	LOC141877284	uncharacterized LOC141877284	lncRNA	Chr1	15.3
NC_133882.1	15315001	0.031596	-1.1322277132103271	NC_133882.1	15337314	15340068	LOC141877224	uncharacterized LOC141877224	protein_coding	Chr1	15.32
NC_133882.1	15325001	0.032121	-1.1305554070582902	NC_133882.1	15340051	15343653	LOC141890677	uncharacterized LOC141890677	protein_coding	Chr1	15.33
NC_133882.1	15325001	0.032121	-1.1305554070582902	NC_133882.1	15348039	15348111	Trnat-cgu	transfer RNA threonine (anticodon CGU)	tRNA	Chr1	15.33
NC_133882.1	15335001	0.037286	-1.1141030998672972	NC_133882.1	15352864	15353994	LOC141877274	uncharacterized LOC141877274	lncRNA	Chr1	15.34
NC_133882.1	15335001	0.037286	-1.1141030998672972	NC_133882.1	15357729	15358571	LOC141890754	uncharacterized LOC141890754	protein_coding	Chr1	15.34
NC_133882.1	15345001	0.036179	-1.1176292768393066	NC_133882.1	15360934	15370397	LOC141877173	uncharacterized LOC141877173	protein_coding	Chr1	15.35
NC_133882.1	15355001	0.03496	-1.121512212457084	NC_133882.1	15370724	15385623	LOC141877115	ATP synthase F(1) complex subunit alpha%2C mitochondrial-like	protein_coding	Chr1	15.36
NC_133882.1	15355001	0.03496	-1.121512212457084	NC_133882.1	15372011	15373326	LOC141877292	uncharacterized LOC141877292	lncRNA	Chr1	15.36
NC_133882.1	15375001	0.032832	-1.1282906267266744	NC_133882.1	15391402	15407158	LOC141877158	geranylgeranyl transferase type-1 subunit beta-like	protein_coding	Chr1	15.38
NC_133882.1	15395001	0.039531	-1.1069520002266815	NC_133882.1	15410301	15412742	LOC141877248	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	protein_coding	Chr1	15.4
NC_133882.1	15395001	0.039531	-1.1069520002266815	NC_133882.1	15414505	15434744	LOC141877121	peptidyl-prolyl cis-trans isomerase FKBP8-like	protein_coding	Chr1	15.4
NC_133882.1	15825001	0.04626	-1.0855178133751435	NC_133882.1	15668795	15929705	LOC141891363	uncharacterized LOC141891363	protein_coding	Chr1	15.83
