fst_chr	fst_midPos	FST	Z	chr	start	end	gene_id	description	biotype	Chr	pos_Mb
NC_133882.1	4585001	0.900159	1.6344451407549436	NC_133882.1	4547866	4597939	LOC141860868	cartilage oligomeric matrix protein-like	protein_coding	Chr1	4.59
NC_133882.1	4585001	0.900159	1.6344451407549436	NC_133882.1	4597930	4610554	LOC141860901	proline-rich protein PRCC-like	protein_coding	Chr1	4.59
NC_133882.1	4595001	0.911379	1.6701847122327644	NC_133882.1	4612243	4616346	LOC141860922	uncharacterized LOC141860922	protein_coding	Chr1	4.6
NC_133882.1	4595001	0.911379	1.6701847122327644	NC_133882.1	4618418	4632919	LOC141860910	homeobox protein orthopedia-like	protein_coding	Chr1	4.6
NC_133882.1	4595001	0.911379	1.6701847122327644	NC_133882.1	4619340	4625152	LOC141860949	uncharacterized LOC141860949	lncRNA	Chr1	4.6
NC_133882.1	4615001	0.924586	1.7122535643279138	NC_133882.1	4634338	4638390	LOC141860938	uncharacterized LOC141860938	lncRNA	Chr1	4.62
NC_133882.1	4625001	0.912147	1.6726310572323158	NC_133882.1	4641459	4646215	LOC141893438	retina and anterior neural fold homeobox protein 2-like	protein_coding	Chr1	4.63
NC_133882.1	4635001	0.905104	1.6501966720346068	NC_133882.1	4650519	4658454	LOC141893425	homeobox protein orthopedia-like	protein_coding	Chr1	4.64
NC_133882.1	4635001	0.905104	1.6501966720346068	NC_133882.1	4652930	4659475	LOC141893463	uncharacterized LOC141893463	lncRNA	Chr1	4.64
NC_133882.1	4645001	0.899688	1.6329448432356877	NC_133882.1	4662346	4705218	LOC141893402	uncharacterized LOC141893402	protein_coding	Chr1	4.65
NC_133882.1	4645001	0.899688	1.6329448432356877	NC_133882.1	4662644	4663917	LOC141893471	uncharacterized LOC141893471	lncRNA	Chr1	4.65
NC_133882.1	5545001	0.889785	1.6014003711906915	NC_133882.1	5515785	5521623	LOC141883392	desert hedgehog protein-like	protein_coding	Chr1	5.55
NC_133882.1	5545001	0.889785	1.6014003711906915	NC_133882.1	5521324	5525923	LOC141883385	synaptotagmin-7-like	protein_coding	Chr1	5.55
NC_133882.1	5545001	0.889785	1.6014003711906915	NC_133882.1	5527214	5529916	LOC141883409	uncharacterized LOC141883409	protein_coding	Chr1	5.55
NC_133882.1	5545001	0.889785	1.6014003711906915	NC_133882.1	5530054	5559731	LOC141883341	synaptotagmin-7-like	protein_coding	Chr1	5.55
NC_133882.1	5545001	0.889785	1.6014003711906915	NC_133882.1	5531471	5535703	LOC141883297	uncharacterized LOC141883297	protein_coding	Chr1	5.55
NC_133882.1	5545001	0.889785	1.6014003711906915	NC_133882.1	5552596	5555713	LOC141883399	uncharacterized LOC141883399	protein_coding	Chr1	5.55
NC_133882.1	5545001	0.889785	1.6014003711906915	NC_133882.1	5557586	5561032	LOC141883426	uncharacterized LOC141883426	lncRNA	Chr1	5.55
NC_133882.1	5555001	0.923977	1.710313689191551	NC_133882.1	5570529	5602246	LOC141883287	chromodomain-helicase-DNA-binding protein 1-like	protein_coding	Chr1	5.56
NC_133882.1	5585001	0.931007	1.7327066649035898	NC_133882.1	5604618	5613639	LOC141877827	cyclic AMP-responsive element-binding protein 3-like protein 3-B	protein_coding	Chr1	5.59
NC_133882.1	5595001	0.926371	1.71793940524484	NC_133882.1	5614641	5616263	LOC141877840	uncharacterized LOC141877840	lncRNA	Chr1	5.6
NC_133882.1	5595001	0.926371	1.71793940524484	NC_133882.1	5617725	5627141	LOC141877832	bcl-2-like protein 2	protein_coding	Chr1	5.6
