region	chr	midPos	Nsites	Fst	zscore	outlier	high_thresh	low_thresh	block
(2901196,2937129)(4560108,4610000)(4560001,4610001)	NC_133882.1	4585001	35935	0.900159	1.6344451407549436	high	0.8832103499999998	0.055679349999999996	True
(2908995,2944276)(4570094,4619854)(4570001,4620001)	NC_133882.1	4595001	35283	0.911379	1.6701847122327644	high	0.8832103499999998	0.055679349999999996	True
(2917807,2952865)(4580001,4630000)(4580001,4630001)	NC_133882.1	4605001	35060	0.925784	1.71606960769961	high	0.8832103499999998	0.055679349999999996	True
(2925490,2961134)(4590133,4640000)(4590001,4640001)	NC_133882.1	4615001	35646	0.924586	1.7122535643279138	high	0.8832103499999998	0.055679349999999996	True
(2931556,2969176)(4600001,4649979)(4600001,4650001)	NC_133882.1	4625001	37622	0.912147	1.6726310572323158	high	0.8832103499999998	0.055679349999999996	True
(2937130,2976383)(4610001,4660000)(4610001,4660001)	NC_133882.1	4635001	39255	0.905104	1.6501966720346068	high	0.8832103499999998	0.055679349999999996	True
(2944277,2984195)(4620049,4669692)(4620001,4670001)	NC_133882.1	4645001	39920	0.899688	1.6329448432356877	high	0.8832103499999998	0.055679349999999996	True
(3512483,3553675)(5520040,5569737)(5520001,5570001)	NC_133882.1	5545001	41194	0.889785	1.6014003711906915	high	0.8832103499999998	0.055679349999999996	True
(3520328,3560855)(5530001,5579899)(5530001,5580001)	NC_133882.1	5555001	40529	0.923977	1.710313689191551	high	0.8832103499999998	0.055679349999999996	True
(3527907,3567506)(5540001,5590000)(5540001,5590001)	NC_133882.1	5565001	39601	0.934505	1.7438490018937343	high	0.8832103499999998	0.055679349999999996	True
(3536956,3574499)(5550001,5600000)(5550001,5600001)	NC_133882.1	5575001	37545	0.929699	1.728540233576229	high	0.8832103499999998	0.055679349999999996	True
(3545667,3580355)(5560001,5610000)(5560001,5610001)	NC_133882.1	5585001	34690	0.931007	1.7327066649035898	high	0.8832103499999998	0.055679349999999996	True
(3553676,3587940)(5570272,5620000)(5570001,5620001)	NC_133882.1	5595001	34266	0.926371	1.71793940524484	high	0.8832103499999998	0.055679349999999996	True
(3560856,3594052)(5580468,5629922)(5580001,5630001)	NC_133882.1	5605001	33198	0.907803	1.6587939183286033	high	0.8832103499999998	0.055679349999999996	True
(5049263,5079458)(7930001,7979923)(7930001,7980001)	NC_133882.1	7955001	30197	0.883427	1.5811479473532595	high	0.8832103499999998	0.055679349999999996	True
(5055255,5085561)(7940001,7990000)(7940001,7990001)	NC_133882.1	7965001	30308	0.884871	1.5857475856076242	high	0.8832103499999998	0.055679349999999996	True
(5061561,5092533)(7950530,8000000)(7950001,8000001)	NC_133882.1	7975001	30974	0.922357	1.705153430208122	high	0.8832103499999998	0.055679349999999996	True
(5067861,5099158)(7960157,8010000)(7960001,8010001)	NC_133882.1	7985001	31299	0.935143	1.7458812520365905	high	0.8832103499999998	0.055679349999999996	True
(5072790,5104190)(7970001,8019985)(7970001,8020001)	NC_133882.1	7995001	31402	0.934814	1.7448332735146472	high	0.8832103499999998	0.055679349999999996	True
(5079459,5110445)(7980481,8030000)(7980001,8030001)	NC_133882.1	8005001	30988	0.93444	1.7436419544653867	high	0.8832103499999998	0.055679349999999996	True
(5085562,5117223)(7990001,8040000)(7990001,8040001)	NC_133882.1	8015001	31663	0.932082	1.7361309108339515	high	0.8832103499999998	0.055679349999999996	True
(5092534,5124077)(8000001,8050000)(8000001,8050001)	NC_133882.1	8025001	31545	0.907813	1.6588257717791182	high	0.8832103499999998	0.055679349999999996	True
(5333870,5370994)(8380001,8429905)(8380001,8430001)	NC_133882.1	8405001	37126	0.891541	1.6069938371011239	high	0.8832103499999998	0.055679349999999996	False
(5339049,5375984)(8390084,8439408)(8390001,8440001)	NC_133882.1	8415001	36937	0.907397	1.6575006682376947	high	0.8832103499999998	0.055679349999999996	False
